company,date,current volume,mean volume,action
IPCALAB,2020-02-03,656063.0,647987.2321428572,True
IRB,2020-02-03,566526.0,1215927.3392857143,False
IRCON,2020-02-03,672282.0,848306.2857142857,False
ITC,2020-02-03,24546119.0,34199339.33928572,False
ITDC,2020-02-03,9234.0,55699.642857142855,False
ITDCEM,2020-02-03,56378.0,155000.4642857143,False
ITI,2020-02-03,1155936.0,1152241.625,True
JAGRAN,2020-02-03,117886.0,157360.2142857143,False
JAMNAAUTO,2020-02-03,291535.0,983659.5,False
JBCHEPHARM,2020-02-03,102478.0,262943.3035714286,False
JBMA,2020-02-03,5614.0,25590.696428571428,False
JCHAC,2020-02-03,26893.0,13051.232142857143,True
JINDALSAW,2020-02-03,579405.0,715796.9285714285,False
JINDWORLD,2020-02-03,3592.0,67231.46428571429,False
JKCEMENT,2020-02-03,103511.0,100550.30357142857,True
JKIL,2020-02-03,83673.0,190207.5357142857,False
JKLAKSHMI,2020-02-03,1572280.0,331228.0535714286,True
JKPAPER,2020-02-03,1190388.0,1382225.142857143,False
JKTYRE,2020-02-03,302628.0,651864.75,False
JMCPROJECT,2020-02-03,1840775.0,170416.26785714287,True
JMFINANCIL,2020-02-03,877397.0,1098071.9642857143,False
JSL,2020-02-03,167454.0,480483.875,False
JSWENERGY,2020-02-03,6876713.0,1570800.9464285714,True
JSWHL,2020-02-03,973.0,685.1428571428571,True
JSWSTEEL,2020-02-03,20403214.0,11281522.94642857,True
JTEKTINDIA,2020-02-03,80297.0,234150.51785714287,False
JUBILANT,2020-02-03,193451.0,339117.0714285714,False
JUBLFOOD,2020-02-03,1123282.0,1610923.5892857143,False
JUSTDIAL,2020-02-03,1027109.0,3309546.6071428573,False
JYOTHYLAB,2020-02-03,260781.0,339149.16071428574,False
KAJARIACER,2020-02-03,615643.0,366796.83928571426,True
KALPATPOWR,2020-02-03,726870.0,380530.91071428574,True
KANSAINER,2020-02-03,494488.0,369353.6964285714,True
KARURVYSYA,2020-02-03,431548.0,1018757.7678571428,False
KCP,2020-02-03,145047.0,141820.39285714287,True
KEC,2020-02-03,442083.0,512986.8214285714,False
KEI,2020-02-03,106366.0,206249.42857142858,False
KENNAMET,2020-02-03,527.0,5525.214285714285,False
KIOCL,2020-02-03,3040.0,15413.660714285714,False
KIRIINDUS,2020-02-03,25643.0,82284.10714285714,False
KIRLFER,2020-02-03,4148.0,19049.964285714286,False
KIRLOSBROS,2020-02-03,35118.0,32961.25,True
KIRLOSENG,2020-02-03,20430.0,21259.428571428572,False
KITEX,2020-02-03,40566.0,122296.98214285714,False
KKCL,2020-02-03,740.0,1929.517857142857,False
KNRCON,2020-02-03,64108.0,275189.5714285714,False
KOLTEPATIL,2020-02-03,25099.0,72913.17857142857,False
KOTAKBANK,2020-02-03,11745366.0,6955682.232142857,True
KPRMILL,2020-02-03,7596.0,11914.392857142857,False
KRBL,2020-02-03,71698.0,324783.64285714284,False
KSB,2020-02-03,11106.0,26741.75,False
KSCL,2020-02-03,247947.0,133974.51785714287,True
KSL,2020-02-03,167144.0,57221.53571428572,True
KTKBANK,2020-02-03,1914270.0,1568755.4464285714,True
L&TFH,2020-02-03,20973650.0,17052606.410714287,True
LALPATHLAB,2020-02-03,53203.0,205167.14285714287,False
LAOPALA,2020-02-03,26469.0,104564.39285714286,False
LAURUSLABS,2020-02-03,438224.0,1024976.9464285715,False
LAXMIMACH,2020-02-03,5306.0,8603.785714285714,False
LGBBROSLTD,2020-02-03,12921.0,29052.553571428572,False
LICHSGFIN,2020-02-03,8443130.0,5587750.160714285,True
LINDEINDIA,2020-02-03,18598.0,39017.05357142857,False
LT,2020-02-03,5159287.0,5901969.0,False
LTI,2020-02-03,113020.0,153688.2142857143,False
LTTS,2020-02-03,71847.0,142319.69642857142,False
LUMAXIND,2020-02-03,3114.0,4376.339285714285,False
LUXIND,2020-02-03,47197.0,55482.07142857143,False
M&M,2020-02-03,7591278.0,7470443.821428572,True
M&MFIN,2020-02-03,13150518.0,8076639.0,True
MAHINDCIE,2020-02-03,34153.0,159618.82142857142,False
MAHLIFE,2020-02-03,15527.0,40354.96428571428,False
MAHSCOOTER,2020-02-03,9249.0,9059.964285714286,True
MAHSEAMLES,2020-02-03,37576.0,95338.0,False
MAITHANALL,2020-02-03,11434.0,27895.39285714286,False
MANAPPURAM,2020-02-03,15178428.0,11607333.142857144,True
MARICO,2020-02-03,3061553.0,4075215.125,False
MARUTI,2020-02-03,1534655.0,1779112.0357142857,False
MASFIN,2020-02-03,3912.0,23934.928571428572,False
MAYURUNIQ,2020-02-03,11864.0,53113.80357142857,False
MCDOWELL-N,2020-02-03,2987301.0,4065471.5714285714,False
MCX,2020-02-03,439235.0,390006.58928571426,True
MEGH,2020-02-03,5452874.0,1028563.7678571428,True
METROPOLIS,2020-02-03,116675.0,224789.6607142857,False
MFSL,2020-02-03,3414848.0,2532580.785714286,True
MGL,2020-02-03,606882.0,739013.2142857143,False
MHRIL,2020-02-03,139702.0,81446.80357142857,True
MINDACORP,2020-02-03,301309.0,367844.8214285714,False
MINDAIND,2020-02-03,89707.0,256811.39285714287,False
MINDTREE,2020-02-03,721522.0,1026703.0714285715,False
MMTC,2020-02-03,4834846.0,805999.1428571428,True
MOIL,2020-02-03,470257.0,491932.1964285714,False
MOTHERSUMI,2020-02-03,20230397.0,24211460.76785714,False
MOTILALOFS,2020-02-03,307799.0,136070.2142857143,True
MPHASIS,2020-02-03,268756.0,415975.41071428574,False
MRF,2020-02-03,5430.0,12923.607142857143,False
MUTHOOTFIN,2020-02-03,2408770.0,2428483.5535714286,False
NAM-INDIA,2020-02-03,528816.0,2292085.089285714,False
NATCOPHARM,2020-02-03,519917.0,334447.39285714284,True
NATIONALUM,2020-02-03,8999848.0,10792648.0,False
NAVINFLUOR,2020-02-03,99675.0,213619.625,False
NAVNETEDUL,2020-02-03,109994.0,114257.78571428571,False
NBCC,2020-02-03,3354852.0,8659728.55357143,False
NBVENTURES,2020-02-03,51764.0,130472.67857142857,False
NCC,2020-02-03,12851086.0,28232497.85714286,False
NEOGEN,2020-02-03,16974.0,18965.660714285714,False
NESCO,2020-02-03,28358.0,75349.48214285714,False
NESTLEIND,2020-02-03,167533.0,181361.9642857143,False
NEWGEN,2020-02-03,65301.0,71029.625,False
NFL,2020-02-03,214964.0,791329.5535714285,False
NH,2020-02-03,272863.0,457884.5,False
NHPC,2020-02-03,4245584.0,8922446.5,False
NIITLTD,2020-02-03,1299108.0,777490.0535714285,True
NIITTECH,2020-02-03,650710.0,774005.8214285715,False
NILKAMAL,2020-02-03,3516.0,13375.232142857143,False
NLCINDIA,2020-02-03,996114.0,1027007.6607142857,False
NMDC,2020-02-03,3460335.0,7316540.339285715,False
NOCIL,2020-02-03,1846270.0,2096661.75,False
NRBBEARING,2020-02-03,27048.0,167361.19642857142,False
NTPC,2020-02-03,11684730.0,23339999.35714286,False
NUCLEUS,2020-02-03,91209.0,60061.232142857145,True
OBEROIRLTY,2020-02-03,578827.0,537740.3392857143,True
OCCL,2020-02-03,3301.0,7587.767857142857,False
OFSS,2020-02-03,108899.0,58330.03571428572,True
OIL,2020-02-03,1222328.0,3174641.9464285714,False
OMAXE,2020-02-03,506626.0,256295.82142857142,True
ONGC,2020-02-03,11655865.0,36177444.01785714,False
ORIENTBANK,2019-12-20,1038334.0,1293346.9836065574,False
ORIENTCEM,2020-02-03,1342980.0,430025.16071428574,True
ORIENTREF,2020-02-03,8552.0,73594.19642857143,False
PAGEIND,2020-02-03,52413.0,37833.75,True
PAISALO,2020-02-03,858.0,38422.125,False
PAPERPROD,2020-02-03,35062.0,74005.39285714286,False
PARAGMILK,2020-02-03,79568.0,399968.58928571426,False
PDSMFL,2020-02-03,2383.0,4765.875,False
PEL,2020-02-03,1940711.0,2575281.285714286,False
PERSISTENT,2020-02-03,582241.0,126058.10714285714,True
PETRONET,2020-02-03,1474532.0,3771869.7678571427,False
PFC,2020-02-03,9029660.0,6842235.660714285,True
PFIZER,2020-02-03,30148.0,76654.41071428571,False
PFS,2020-02-03,225261.0,563058.5535714285,False
PGHH,2020-02-03,5675.0,6910.642857142857,False
PGHL,2020-02-03,19636.0,16719.76785714286,True
PHILIPCARB,2020-02-03,303348.0,497714.21428571426,False
PHOENIXLTD,2020-02-03,193443.0,204198.2142857143,False
PIDILITIND,2020-02-03,571770.0,1039538.3214285715,False
PIIND,2020-02-03,228867.0,191250.4107142857,True
PILANIINVS,2020-02-03,744.0,2188.6785714285716,False
PNBHOUSING,2020-02-03,160162.0,600732.6071428572,False
PNCINFRA,2020-02-03,40632.0,222151.35714285713,False
POLYCAB,2020-02-03,183494.0,215585.05357142858,False
POLYMED,2020-02-03,211211.0,99532.75,True
POLYPLEX,2020-02-03,82555.0,72897.75,True
POWERGRID,2020-02-03,12743485.0,15948609.107142856,False
PRABHAT,2020-02-03,32746.0,27564.428571428572,True
PRAJIND,2020-02-03,1302841.0,1320036.0535714286,False
PRESTIGE,2020-02-03,741010.0,618889.0535714285,True
PRSMJOHNSN,2020-02-03,337318.0,242431.75,True
PSPPROJECT,2020-02-03,3944.0,25881.089285714286,False
