company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
JCHAC,2166.0793288886384,2183.911696598873,0.008232555231199099,close by,sell,Johnson Controls-Hitachi Air Conditioning India Limited,2124.1,3988,57753432064,250.021,8.495687,12157,14452,544.1001,0.34436715,1580.0 - 3484.4,-1360.2998,-0.39039716,1580.0,3484.4
JINDALSAW,61.47184744060602,65.15455048965833,0.059908774542859394,close by,sell,Jindal Saw Limited,63.55,1021543,20351313920,212.455,0.29912215,1972275,1141241,23.7,0.59473026,39.85 - 102.6,-39.05,-0.3806043,39.85,102.6
JINDALSTEL,192.94175844368695,156.46977069748078,-0.18903107362759464,close by,buy,Jindal Steel & Power Limited,210.65,12948879,214964109312,314.876,0.6689935,14754466,13230794,148.65,2.3975806,62.0 - 238.75,-28.100006,-0.11769636,62.0,238.75
JKCEMENT,1455.9521252057577,1278.4203652013769,-0.1219351632041416,close by,buy,J.K. Cement Limited,1489.55,60437,115094847488,391.841,3.8014145,93079,116691,694.30005,0.87305886,795.25 - 1615.0,-125.44995,-0.07767799,795.25,1615.0
JKLAKSHMI,272.2080473284344,272.96002099006273,0.0027624960724287983,close by,sell,JK Lakshmi Cement Limited,263.3,245417,30982508544,143.362,1.8366094,322503,273524,83.54999,0.46481216,179.75 - 388.0,-124.70001,-0.3213918,179.75,388.0
JKPAPER,97.03974888237398,104.20144847937185,0.07380171197350134,close by,sell,JK Paper Limited,93.55,726162,16674633728,132.706,0.7049418,1785964,924083,31.550003,0.508871,62.0 - 151.85,-58.300003,-0.38393152,62.0,151.85
JKTYRE,62.224307843932344,63.77085092223019,0.024854323525410688,close by,sell,JK Tyre & Industries Limited,59.8,420230,14724614144,94.835,0.63056886,1444076,943543,28.15,0.8894155,31.65 - 87.55,-27.750004,-0.31696177,31.65,87.55
JMFINANCIL,78.19308148800407,79.62650279221288,0.018331817558932165,close by,sell,JM Financial Limited,83.05,3639100,79055216640,67.03,1.2389976,1780022,2083298,27.600002,0.49774575,55.45 - 124.7,-41.649994,-0.33400157,55.45,124.7
JSL,42.56994909948841,37.71335778513468,-0.11408496878874805,close by,buy,Jindal Stainless Limited,46.6,410230,22752448512,55.769,0.83558965,899563,1032691,25.199999,1.1775701,21.4 - 53.0,-6.4000015,-0.12075475,21.4,53.0
JSLHISAR,83.01968061793688,69.64758560958576,-0.161071385830675,close by,buy,Jindal Stainless (Hisar) Limited,95.45,340588,22519996416,96.256,0.9916265,605107,405540,65.049995,2.1398025,30.4 - 109.75,-14.300003,-0.13029616,30.4,109.75
JSWENERGY,51.758801878273935,53.38166699890058,0.03135437957863258,close by,sell,JSW Energy Limited,58.95,8726948,96842473472,70.928,0.83112454,2951345,4820584,24.2,0.6964029,34.75 - 80.0,-21.05,-0.263125,34.75,80.0
JSWSTEEL,245.16213049257635,226.3910276706347,-0.07656607806526644,close by,buy,JSW Steel Limited,282.35,8442545,677625921536,152.348,1.8533226,10803735,11572492,149.85,1.1309434,132.5 - 296.75,-14.399994,-0.048525676,132.5,296.75
JUBILANT,757.5059865103024,607.9262782565809,-0.19746340084097427,close by,buy,Jubilant Life Sciences Limited,829.75,847086,132123574272,351.823,2.3584301,758875,615062,595.4,2.5406444,234.35 - 909.0,-79.25,-0.08718372,234.35,909.0
JUBLFOOD,1910.0606309852233,1685.2325598687069,-0.11770729550116346,close by,buy,Jubilant FoodWorks Limited,2246.4,962146,296455143424,85.184,26.37115,1035011,1828156,1108.1499,0.9735558,1138.25 - 2308.9,-62.5,-0.027069168,1138.25,2308.9
JUSTDIAL,381.36031831365705,433.53385081604165,0.13680902285033622,close by,sell,Just Dial Limited,389.8,1018105,24076736512,198.406,1.9646583,2070715,922875,139.79999,0.5591999,250.0 - 758.0,-368.2,-0.485752,250.0,758.0
JYOTHYLAB,134.00013457468046,132.9101538990209,-0.008134175977652341,close by,buy,Jyothy Labs Limited,139.5,204665,51261923328,33.459,4.169282,947667,409266,54.5,0.64117646,85.0 - 185.0,-45.5,-0.24594595,85.0,185.0
KAJARIACER,419.51395566131663,436.97706853370426,0.04162701296756383,close by,sell,Kajaria Ceramics Limited,446.55,76982,70982246400,107.855,4.1402807,379811,245809,151.0,0.5109119,295.55 - 605.7,-159.15002,-0.26275387,295.55,605.7
KALPATPOWR,248.96287489518386,289.32157240651884,0.16210729221505996,close by,sell,Kalpataru Power Transmission Limited,252.8,503772,39065939968,217.071,1.164596,517008,415379,83.3,0.49144545,169.5 - 515.5,-262.7,-0.50960237,169.5,515.5
KARURVYSYA,34.92100256280689,39.604928002580564,0.1341291800356945,close by,sell,The Karur Vysya Bank Limited,38.1,1405877,30493106176,82.799,0.46015045,3868385,4480717,19.349998,1.032,18.75 - 64.65,-26.550003,-0.4106729,18.75,64.65
KEC,291.20482074610294,270.49412357951655,-0.07112072222404493,close by,buy,KEC International Limited,326.5,1251564,83899727872,108.818,3.0004227,419522,368879,172.45,1.1194417,154.05 - 358.9,-32.399994,-0.090275824,154.05,358.9
KEI,374.3669204881571,385.6635407922932,0.030175263053172006,close by,sell,KEI Industries Limited,388.35,173049,34817167360,168.395,2.3061848,338109,492571,180.05,0.8643783,208.3 - 614.65,-226.30002,-0.36817703,208.3,614.65
KNRCON,229.50955429713537,227.11737158908082,-0.010423020145634114,close by,buy,KNR Constructions Limited,245.15,211420,34451419136,110.949,2.2095737,302635,306922,74.149994,0.4336257,171.0 - 311.8,-66.649994,-0.21375881,171.0,311.8
