company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema50,ema200,action
SBILIFE,07-01-2019,602.4500122070312,03-01-2020,975.0999755859375,61.85574833233558,03-12-2019,942.6500244140625,03-01-2020,975.0999755859375,0.8659626117656138,842.2006160757094,819.464045537671,buy
FINEORG,07-01-2019,1174.5999755859375,03-01-2020,1897.199951171875,61.51881411588449,03-12-2019,1977.3499755859375,03-01-2020,1897.199951171875,4.0345537165388246,2288.270263701652,2029.6256101870938,buy
APLAPOLLO,07-01-2019,1151.949951171875,03-01-2020,1851.300048828125,60.71011131558306,03-12-2019,1555.199951171875,03-01-2020,1851.300048828125,13.243904905101832,2069.1843016891994,1732.557080635074,buy
HDFCLIFE,07-01-2019,393.04998779296875,03-01-2020,630.7000122070312,60.463053503321795,03-12-2019,586.4000244140625,03-01-2020,630.7000122070312,5.5519228317646,585.0359319458595,549.1691145410916,buy
ICICIGI,07-01-2019,865.4500122070312,03-01-2020,1388.0,60.37899132503164,03-12-2019,1357.449951171875,03-01-2020,1388.0,0.03088709183451943,1293.4436154501002,1254.0774790023913,buy
BERGEPAINT,07-01-2019,318.1000061035156,03-01-2020,509.79998779296875,60.264060990640274,03-12-2019,476.8999938964844,03-01-2020,509.79998779296875,1.330976093368097,536.0292613753844,497.2906670895783,buy
INDIAMART,04-07-2019,1301.949951171875,03-01-2020,2076.89990234375,59.52225356084915,03-12-2019,2142.39990234375,03-01-2020,2076.89990234375,-3.8921629866757956,3039.1857250380394,2467.3645625281497,buy
NAUKRI,07-01-2019,1622.0,03-01-2020,2567.449951171875,58.28914618815506,03-12-2019,2605.0,03-01-2020,2567.449951171875,0.40255289203978695,3153.382405181605,2728.5730784747393,buy
AVANTIFEED,07-01-2019,382.04998779296875,03-01-2020,603.7000122070312,58.01597474050273,03-12-2019,528.4500122070312,03-01-2020,603.7000122070312,12.10555803548996,488.283534175738,461.9306699324056,buy
GMMPFAUDLR,07-01-2019,1184.6500244140625,03-01-2020,1865.949951171875,57.51064978830258,03-12-2019,1682.0999755859375,03-01-2020,1865.949951171875,10.479587865499118,5050.526449104433,3614.450900583989,buy
ISEC,07-01-2019,263.95001220703125,03-01-2020,414.6000061035156,57.07519868509075,03-12-2019,301.70001220703125,03-01-2020,414.6000061035156,14.239840597581232,476.13201453284046,409.4594099253163,buy
MASFIN,07-01-2019,555.2000122070312,03-01-2020,862.9500122070312,55.430474285588026,03-12-2019,715.9000244140625,03-01-2020,862.9500122070312,14.132980407832484,719.8589748632746,704.8003071333778,buy
TIMKEN,07-01-2019,587.0,03-01-2020,908.0499877929688,54.69335396813777,03-12-2019,835.2000122070312,03-01-2020,908.0499877929688,0.7340311109645281,1024.544751465568,915.1940827270698,buy
BATAINDIA,07-01-2019,1125.0999755859375,03-01-2020,1740.0999755859375,54.66180902543491,03-12-2019,1642.699951171875,03-01-2020,1740.0999755859375,2.6144067818874017,1301.1690978708318,1385.2534957901717,sell
