company,current date,start date,current volume,mean volume,action,close price
FRETAIL,08-25-2020,27-05-2020,11291708.0,6081040.846153846,True,119.25
FSL,08-25-2020,27-05-2020,8615570.0,4592902.938461538,True,63.75
GAIL,08-25-2020,27-05-2020,15037329.0,16194874.63076923,False,99.69999694824219
GALAXYSURF,08-25-2020,27-05-2020,28719.0,33850.46153846154,False,1861.050048828125
GARFIBRES,08-25-2020,27-05-2020,23411.0,18303.861538461537,True,1963.5
GEPIL,08-25-2020,27-05-2020,19687.0,55964.86153846154,False,500.3500061035156
GESHIP,08-25-2020,27-05-2020,116218.0,442791.92307692306,False,272.79998779296875
GET&D,08-25-2020,27-05-2020,62732.0,244492.44615384616,False,109.75
GHCL,08-25-2020,27-05-2020,788980.0,386831.2,True,168.0
GICRE,08-25-2020,27-05-2020,599053.0,475114.1692307692,True,149.60000610351562
GILLETTE,08-25-2020,27-05-2020,27763.0,22424.938461538462,True,5414.64990234375
GLAXO,08-25-2020,27-05-2020,408886.0,58850.0,True,1570.6500244140625
GLENMARK,08-25-2020,27-05-2020,2168885.0,7981154.076923077,False,483.8500061035156
GMDCLTD,08-25-2020,27-05-2020,1635181.0,2241489.769230769,False,48.650001525878906
GMMPFAUDLR,08-25-2020,27-05-2020,44952.0,49334.8,False,6085.10009765625
GMRINFRA,08-25-2020,27-05-2020,27184670.0,16919095.53846154,True,24.850000381469727
GNFC,08-25-2020,27-05-2020,5862930.0,1811617.5076923077,True,223.6999969482422
GODFRYPHLP,08-25-2020,27-05-2020,111535.0,69739.6,True,944.4000244140625
GODREJAGRO,08-25-2020,27-05-2020,121070.0,317474.8,False,490.5
GODREJCP,08-25-2020,27-05-2020,1183215.0,1570876.8769230768,False,677.75
GODREJIND,08-25-2020,27-05-2020,108331.0,265257.3230769231,False,418.79998779296875
GODREJPROP,08-25-2020,27-05-2020,449599.0,592768.8307692307,False,855.25
GPPL,08-25-2020,27-05-2020,236017.0,590351.1384615385,False,85.1500015258789
GRANULES,08-25-2020,27-05-2020,1832920.0,4527483.507692307,False,311.6499938964844
GRAPHITE,08-25-2020,27-05-2020,3507970.0,669489.3076923077,True,209.5500030517578
GRASIM,08-25-2020,27-05-2020,1823538.0,2827905.7538461536,False,673.75
GREAVESCOT,08-25-2020,27-05-2020,524049.0,760889.7846153846,False,80.69999694824219
GRINDWELL,08-25-2020,27-05-2020,14209.0,30147.615384615383,False,544.2000122070312
GRSE,08-25-2020,27-05-2020,313994.0,518767.55384615384,False,208.75
