company,yealy_start_date,yealy_start_date_close,yealy_end_date,yealy_end_date_close,return_yearly,monthly_start_date,monthly_start_date_close,monthly_end_date,monthly_end_date_close,return_monthly,ema_date,ema50,ema200,action
RELAXO,07-01-2019,376.8500061035156,03-01-2020,629.4000244140625,67.01605790638484,03-12-2019,571.9000244140625,03-01-2020,629.4000244140625,6.267624076884615,05-01-2020,581.6925348812853,491.42938423743095,buy
ESSELPACK,07-01-2019,107.0,03-01-2020,178.14999389648438,66.49532139858351,03-12-2019,155.0500030517578,03-01-2020,178.14999389648438,14.381750907676881,05-01-2020,150.68737951557134,129.44550841757712,buy
BAJFINANCE,07-01-2019,2553.60009765625,03-01-2020,4193.4501953125,64.21718495238704,03-12-2019,4078.300048828125,03-01-2020,4193.4501953125,4.090851302022203,05-01-2020,4065.439739399105,3573.2068682860095,buy
WHIRLPOOL,07-01-2019,1428.5999755859375,03-01-2020,2320.60009765625,62.438760836773795,03-12-2019,2190.10009765625,03-01-2020,2320.60009765625,3.0803057051526084,05-01-2020,2210.0384591207094,1856.401486475912,buy
LALPATHLAB,07-01-2019,948.7000122070312,03-01-2020,1540.199951171875,62.34846962727381,03-12-2019,1575.199951171875,03-01-2020,1540.199951171875,-4.352169562781549,05-01-2020,1498.485285029187,1288.979229602584,buy
SBILIFE,07-01-2019,602.4500122070312,03-01-2020,975.0999755859375,61.85574833233558,03-12-2019,942.6500244140625,03-01-2020,975.0999755859375,0.8659626117656138,05-01-2020,952.3740634753008,825.6342935687053,buy
FINEORG,07-01-2019,1174.5999755859375,03-01-2020,1897.199951171875,61.51881411588449,03-12-2019,1977.3499755859375,03-01-2020,1897.199951171875,4.0345537165388246,05-01-2020,1856.6886504574318,1603.5057341127867,buy
APLAPOLLO,07-01-2019,1151.949951171875,03-01-2020,1851.300048828125,60.71011131558306,03-12-2019,1555.199951171875,03-01-2020,1851.300048828125,13.243904905101832,05-01-2020,1612.39029695932,1488.5636350518585,buy
HDFCLIFE,07-01-2019,393.04998779296875,03-01-2020,630.7000122070312,60.463053503321795,03-12-2019,586.4000244140625,03-01-2020,630.7000122070312,5.5519228317646,05-01-2020,595.5769320281689,524.6565555347755,buy
ICICIGI,07-01-2019,865.4500122070312,03-01-2020,1388.0,60.37899132503164,03-12-2019,1357.449951171875,03-01-2020,1388.0,0.03088709183451943,05-01-2020,1344.3675230308495,1188.163668623159,buy
BERGEPAINT,07-01-2019,318.1000061035156,03-01-2020,509.79998779296875,60.264060990640274,03-12-2019,476.8999938964844,03-01-2020,509.79998779296875,1.330976093368097,05-01-2020,489.7268082181375,407.4558179880295,buy
INDIAMART,04-07-2019,1301.949951171875,03-01-2020,2076.89990234375,59.52225356084915,03-12-2019,2142.39990234375,03-01-2020,2076.89990234375,-3.8921629866757956,05-01-2020,1998.2480968352957,1962.9676551040804,buy
NAUKRI,07-01-2019,1622.0,03-01-2020,2567.449951171875,58.28914618815506,03-12-2019,2605.0,03-01-2020,2567.449951171875,0.40255289203978695,05-01-2020,2502.4098173380853,2196.8004854796764,buy
AVANTIFEED,07-01-2019,382.04998779296875,03-01-2020,603.7000122070312,58.01597474050273,03-12-2019,528.4500122070312,03-01-2020,603.7000122070312,12.10555803548996,05-01-2020,516.6673963248036,431.5885220425277,buy
GMMPFAUDLR,07-01-2019,1184.6500244140625,03-01-2020,1865.949951171875,57.51064978830258,03-12-2019,1682.0999755859375,03-01-2020,1865.949951171875,10.479587865499118,05-01-2020,1668.3342825132017,1430.8719270965041,buy
ISEC,07-01-2019,263.95001220703125,03-01-2020,414.6000061035156,57.07519868509075,03-12-2019,301.70001220703125,03-01-2020,414.6000061035156,14.239840597581232,05-01-2020,343.4341097267217,281.4624627559827,buy
MASFIN,07-01-2019,555.2000122070312,03-01-2020,862.9500122070312,55.430474285588026,03-12-2019,715.9000244140625,03-01-2020,862.9500122070312,14.132980407832484,05-01-2020,775.4119815277471,668.5243106927472,buy
TIMKEN,07-01-2019,587.0,03-01-2020,908.0499877929688,54.69335396813777,03-12-2019,835.2000122070312,03-01-2020,908.0499877929688,0.7340311109645281,05-01-2020,858.7901247701985,751.2705623762167,buy
BATAINDIA,07-01-2019,1125.0999755859375,03-01-2020,1740.0999755859375,54.66180902543491,03-12-2019,1642.699951171875,03-01-2020,1740.0999755859375,2.6144067818874017,05-01-2020,1691.951910080866,1510.3359706159506,buy
