company,ema_date,ema5,ema13,ema26,action,ratioCB,ratioCA,ratioBA
CARERATING,19-09-2020,391.1373364981516,396.8985404189318,402.7209985929646,sell,1.4563071285695874,2.918319700827584,1.4621679264956562
CASTROLIND,19-09-2020,119.04151981366802,119.5513189904747,119.91752565922226,buy,0.3058491130929914,0.7331849219774594,0.4273382045847294
CCL,19-09-2020,272.1257747843083,265.0476419763231,261.1770961291864,sell,1.4710619120915103,4.105989017598167,2.6353250503977397
CDSL,19-09-2020,472.7637465806592,458.5145525920782,432.0008316994105,sell,5.954691263141398,9.010722979172712,3.0601365888668686
CEATLTD,19-09-2020,945.7348269202566,923.7182763945596,909.4141226873727,sell,1.560624176884403,3.9156644797244877,2.355400142069196
CENTRALBK,19-09-2020,16.201274090942775,16.596645658641634,16.94026208832994,sell,2.049183736800159,4.459588073345508,2.4109551503117466
CENTURYPLY,19-09-2020,180.1746062396416,170.70078355364095,160.33200053678155,sell,6.264505218327339,11.654755184171051,5.400106682650009
CENTURYTEX,19-09-2020,364.05329472483703,354.2498295625054,344.1620431876913,sell,2.888778604261272,5.617289113160233,2.729617853760012
CERA,19-09-2020,2478.6279319935816,2481.8584045178213,2452.8174083619965,sell,1.1770173870399336,1.046773181094369,0.13024821781937113
CESC,19-09-2020,661.7056778296045,643.7043349280877,629.0897797757139,sell,2.2964523458336266,5.05361215236992,2.7579599858421076
CGCL,19-09-2020,225.0659374920771,221.98161093818595,215.89474759993016,sell,2.780174457729235,4.159640622035661,1.3798651014735552
CHAMBLFERT,19-09-2020,152.052490618099,149.1336369063752,149.55428907551686,sell,0.2816666711644564,1.6565950839168204,1.9382391451522805
CHENNPETRO,19-09-2020,77.37463943045753,78.13079165459678,79.08645906375298,sell,1.2157284328400537,2.188172842668352,0.972509087127204
CHOLAFIN,19-09-2020,236.7137906135444,233.47182986734225,229.73064481200964,sell,1.6153562469295581,2.994202640734168,1.3790131407619008
CHOLAHLDNG,19-09-2020,431.30412409434666,424.6825569749185,411.7461755278693,sell,3.0932417657008413,4.639805851499392,1.5471191937605293
CIPLA,19-09-2020,763.567571849708,746.6058429982122,738.4824472675379,sell,1.0939949878967419,3.3401184065644687,2.2463286248756895
COALINDIA,19-09-2020,124.51933285231,127.4675701190246,129.95709288211185,sell,1.9341757965718,4.2736846952391865,2.3399924614732726
COCHINSHIP,19-09-2020,342.8732787390004,339.3832397299544,338.10106710265774,sell,0.3785099121457519,1.401583382834897,1.023087039718707
COLPAL,19-09-2020,1395.3875380023785,1396.466435482348,1399.4956153359362,buy,0.21668247268961577,0.29397131172735336,0.07728896211737757
CONCOR,19-09-2020,387.4238124608349,387.96348789658964,393.5221246263084,sell,1.4225819748040245,1.561775758311693,0.13920151529590158
COROMANDEL,19-09-2020,802.502717357654,782.1279133165397,774.4830087200374,sell,0.9822498979385391,3.553577965135763,2.571552467396859
CREDITACC,19-09-2020,720.0136243386784,701.5621727089034,671.7224526431319,sell,4.345744431256886,6.93970250455434,2.5959152748796237
CRISIL,19-09-2020,1769.8997589848611,1783.3525822780923,1778.0986201815474,buy,0.29504613697452176,0.4621682605510414,0.7572118161723105
CROMPTON,19-09-2020,275.2264603919155,268.58381580251995,263.8513548082748,sell,1.7776665612890394,4.220209128589907,2.443000759706324
CSBBANK,19-09-2020,224.7729661455341,224.0506861352876,218.87979798860658,sell,2.3348531347572132,2.6566579240992563,0.3218547002039786
CUB,19-09-2020,142.53303121409542,139.9544355297671,136.33957227108166,sell,2.616678723840443,4.441783714579158,1.8256354620266313
CUMMINSIND,19-09-2020,480.2694984735307,472.7447013324725,461.93779483869537,sell,2.312422996696,3.891225161374465,1.5791574023954584
CYIENT,19-09-2020,413.39552943981516,401.2213846395243,387.1541292667991,sell,3.568668768775761,6.555845696171368,2.9889251229333524
DABUR,19-09-2020,505.2400727127202,500.19784783348837,496.6357327037385,sell,0.7146860216787924,1.717646032065831,1.0029907916129919
DALBHARAT,19-09-2020,764.05829209033,750.4217894736736,747.0759086979317,sell,0.44686289399003204,2.247634046471811,1.8008163702719733
DBCORP,19-09-2020,77.98889028631413,77.76374265313986,77.67028162279698,buy,0.12025813624559001,0.4093670287584313,0.2891092483319954
DBL,19-09-2020,369.22551827696145,370.7860871708832,365.1648687005272,sell,1.5276068127936926,1.1058558631592494,0.42176876212024267
DCAL,19-09-2020,169.6436892474661,173.30476518576975,176.28177687124295,sell,1.7031614935495383,3.837871607578546,2.135059010167586
DCBBANK,19-09-2020,91.78059932367414,90.16037770797735,88.30878748687608,sell,2.0749693305055663,3.855654015247792,1.781040909123984
DCMSHRIRAM,19-09-2020,373.7578881408514,364.821256094748,360.23058317368793,sell,1.2663019862667895,3.685972054284904,2.4199524494703852
DEEPAKNTR,19-09-2020,833.8986513809398,788.189030899517,739.3574638566104,sell,6.39346392539136,12.01853742803401,5.63590007873812
DELTACORP,19-09-2020,110.87500199107168,110.17499395276563,109.0575188968252,sell,1.0194428202418127,1.6527642996215952,0.6333481575669468
DHANUKA,19-09-2020,795.2284027857097,780.4432984122683,782.9641301756155,sell,0.3224791845365781,1.5542175436708536,1.876673213360416
DISHTV,19-09-2020,14.477986508519407,13.558122566810187,12.148311333088254,sell,10.96854771231029,17.499054425739057,6.561994314101565
DIVISLAB,19-09-2020,3248.6343303270223,3210.909894846664,3133.1130485900635,sell,2.4526029287799465,3.6203652347191957,1.1680215868277923
DIXON,19-09-2020,9623.916585767252,9324.761358072665,8840.7849044514,sell,5.328509769284711,8.482473239339416,3.1575313969789742
DLF,19-09-2020,158.54886686529773,157.07166024025824,155.5736437419005,sell,0.9582849825521303,1.8943074901866328,0.9360649882860435
DMART,19-09-2020,2156.719382646059,2193.4786931889957,2209.318699577932,sell,0.7195428258842318,2.409475865363035,1.6900062894667451
DRREDDY,19-09-2020,4840.592323741521,4609.263840000183,4507.1987687305955,sell,2.239137605233872,7.133098112973686,4.895915445336095
ECLERX,19-09-2020,766.2707732127717,747.6951906809998,711.2566365856069,sell,4.995168917079556,7.446783898874941,2.4538969798234262
EDELWEISS,19-09-2020,71.25544350610828,73.77747778725538,74.84725674334436,sell,1.4395705525969895,4.916833475498394,3.477878344663119
EICHERMOT,19-09-2020,2154.534431310004,2161.6115084862167,2150.255695448861,buy,0.5267236907014348,0.19878952214400394,0.32793502698598875
EIDPARRY,19-09-2020,307.156961589442,301.8004634948114,296.408077769426,sell,1.8028447785079542,3.56179802310417,1.7592356621284233
EIHOTEL,19-09-2020,86.73609669832712,86.2181479954356,83.80882682280239,sell,2.834045803860031,3.432843165410383,0.5989430369964144
ELGIEQUIP,19-09-2020,236.5378464952761,229.93480574604143,220.9223406038447,sell,3.997924937049856,6.827044771023057,2.831051602921737
EMAMILTD,19-09-2020,379.339429411188,373.711848164757,355.53172058725505,sell,4.986023423864929,6.4794239980664345,1.4946077150406216
ENDURANCE,19-09-2020,1129.1984586570404,1105.765042957219,1072.4576927058652,sell,3.0582134421817653,5.154371259658385,2.096984195303053
ENGINERSIN,19-09-2020,68.64997272565873,67.97461615867562,68.065890777537,buy,0.1341874136123121,0.854446489463994,0.9886310692650869
EQUITAS,19-09-2020,54.547922950655774,54.09982871496853,53.87975430597234,sell,0.407622261244536,1.2324687968773926,0.8248568954584607
ERIS,19-09-2020,527.8084410525933,514.7655608773731,509.9558949271985,sell,0.9387265042475788,3.440578078555663,2.5020536002385922
ESABINDIA,19-09-2020,1389.2375398436543,1396.8743221425277,1400.0380269713537,buy,0.2262283857288778,0.7744295512567199,0.5482035666313307
ESCORTS,19-09-2020,1234.7559547317414,1208.1422308794442,1180.4081004291884,sell,2.322256314779932,4.5005517688471635,2.1788647606399314
ESSELPACK,19-09-2020,271.280471745153,276.28708485127095,272.25761090926665,sell,1.469150635543957,0.3595476362361481,1.8286741227833445
EXIDEIND,19-09-2020,164.97699457908976,163.5542830239036,163.3227683407957,sell,0.1416524544267174,1.007753538157587,0.8661041746566452
FCONSUMER,19-09-2020,9.798814894815337,10.203584293626228,10.553870232513319,sell,3.3750375167242255,7.419712268668946,4.047208487317749
FDC,19-09-2020,350.6290756440526,339.8869589823112,330.2229159203855,sell,2.8843159678340786,5.9943012509307705,3.111330113443026
FEDERALBNK,19-09-2020,52.67203477558229,53.21871729861296,53.68094218075677,sell,0.864782702573563,1.897280986480836,1.0325406370664365
FINCABLES,19-09-2020,289.92885156861706,287.5457840374827,285.92902513067247,sell,0.5638465302967302,1.3891713909935048,0.8253410225137169
FINEORG,19-09-2020,2940.294114324879,2841.492437241291,2685.640716168903,sell,5.639513894331598,9.052838535409247,3.417686772156075
FINPIPE,19-09-2020,534.5318575392048,521.93387626451,506.8241346725015,sell,2.937472453457986,5.321469905378979,2.384929462754432
FLUOROCHEM,19-09-2020,528.7656227696774,526.4684725089292,511.46603006832606,sell,2.890826425627263,3.3261038835251497,0.4353821149309532
FORTIS,19-09-2020,133.31199116696445,133.74743558623916,134.12955142104218,buy,0.2852920208428581,0.6113936123507812,0.32610301352673976
FRETAIL,19-09-2020,101.70572416372947,106.73707841181134,110.4153676381744,sell,3.3877483705768316,8.211954219600862,4.827563423552107
FSL,19-09-2020,71.86806727228628,67.99223974678638,63.69488821948619,sell,6.5266083233295555,12.058130516778439,5.542426737231968
GAIL,19-09-2020,91.79825208153457,93.22204459653709,94.93458825926011,sell,1.820338339106558,3.359169358749756,1.5390662976612377
GALAXYSURF,19-09-2020,1931.4818952782232,1875.199826392628,1828.3875978204233,sell,2.5279397087353233,5.483929569738131,2.9570146915719313
GARFIBRES,19-09-2020,1986.9362061308889,1961.1790771684516,1912.8032051671585,sell,2.497475128984199,3.8019463941081577,1.3047809962080277
GEPIL,19-09-2020,472.41373490424473,473.1477242625386,477.1246656911669,buy,0.8370108340877014,0.9922570343586252,0.15524942375308662
GESHIP,19-09-2020,256.8974885380868,258.5132329148241,257.4686243689823,buy,0.4049012697232051,0.22207366176111282,0.6269735220806371
GET&D,19-09-2020,100.02396207934932,101.43247583927744,100.99824397828272,sell,0.4290177512445524,0.9693276360265161,1.3983308495676474
GHCL,19-09-2020,166.3006352052803,164.57261818659805,161.62045808330055,sell,1.8100691388402286,2.854453231443112,1.0445190120191525
GICRE,19-09-2020,132.52022930560898,136.79353929782312,140.5432845128605,sell,2.70410915039328,5.876328986658538,3.1734805200447367
GILLETTE,19-09-2020,5552.933977759874,5515.890956942843,5425.76622892853,sell,1.647368885413239,2.31662667596792,0.6693216495076111
GLAXO,19-09-2020,1726.836347337736,1681.617396472374,1626.4190407081435,sell,3.3372277973622753,5.989242989816594,2.653341031691074
GLENMARK,19-09-2020,496.3537431479826,487.5900483401105,479.7662288705561,sell,1.617567312865135,3.3986630235881354,1.7813405366617674
GMDCLTD,19-09-2020,45.73934668336247,46.06756661936034,45.91378916488518,buy,0.3343665749738822,0.3806579663821635,0.7150222661676995
GMMPFAUDLR,19-09-2020,5555.306785730795,5637.244981637011,5559.0487544815915,sell,1.3968234310102605,0.06733577556085318,1.4641557637483307
GMRINFRA,19-09-2020,23.797380302421917,23.679892679795095,23.350785385792914,sell,1.3995430537625466,1.8944317773984327,0.494921528752621
GNFC,19-09-2020,215.42112317653545,211.02796242000102,203.18556858793266,sell,3.786642996903036,5.845847584054963,2.0603447890568574
GODFRYPHLP,19-09-2020,942.0990824144287,939.9434484273479,942.5237829399958,buy,0.2741438968659967,0.0450700809561969,0.2290738866689345
GODREJAGRO,19-09-2020,519.8123922388867,506.0712996074589,494.8932598791977,sell,2.2334536467492683,4.911598217211682,2.6788792415048683
GODREJCP,19-09-2020,704.3718198749945,690.6567392943682,684.7151389040897,sell,0.8639991095442707,2.830158450005415,1.9662795418027248
GODREJIND,19-09-2020,412.04299553087344,416.79831216163626,413.1873133385563,sell,0.8701352679219695,0.277332956723457,1.1474613020920976
GODREJPROP,19-09-2020,904.1677267922648,898.7146485594615,894.3441896774337,sell,0.4874863879341704,1.0924072312085336,0.6049288968992796
GPPL,19-09-2020,85.12412976101983,83.04373606878703,81.81141647333918,sell,1.4950331566166213,3.9688530842076846,2.4741869464386874
GRANULES,19-09-2020,364.5180257946647,355.1037576415905,338.57463590315933,sell,4.765644106043462,7.379792537972856,2.616448909625907
GRAPHITE,19-09-2020,183.53646222456877,185.05761625397943,185.8942336124146,sell,0.45106520360337987,1.2764350198372496,0.8253816966835491
GRASIM,19-09-2020,726.7304663061084,710.7197072627229,690.8007577808891,sell,2.8424771494455454,5.069335745794369,2.2276610817938525
GREAVESCOT,19-09-2020,78.50536572201239,78.92434998857429,80.07482998071262,sell,1.447152107778873,1.9793950332138062,0.5322810432207766
GRINDWELL,19-09-2020,551.3903165925678,542.5588441873703,533.1058614277233,sell,1.7576076839374357,3.3719722642494045,1.6146038082612784
GRSE,19-09-2020,185.2425765452141,189.96395965703613,195.9009212309873,sell,3.077223073676956,5.59282514221536,2.516684895530197
GSFC,19-09-2020,61.91912318150953,63.14153330500316,63.373075264585964,sell,0.36603197401578635,2.3208980305377347,1.9549075749901512
GSPL,19-09-2020,208.75125408712813,206.44208095702984,206.3447885700495,sell,0.04713928381094489,1.159474082997268,1.112336319104301
GUJALKALI,19-09-2020,346.2173585897998,345.08807386588256,342.77630460466617,buy,0.6721584468021344,0.9988637541830078,0.32671079117829227
GUJGASLTD,19-09-2020,307.2531483241443,305.4712824267483,306.4477311751592,buy,0.31914313061243077,0.2624787338229696,0.581620646401301
GULFOILLUB,19-09-2020,659.8931097453255,656.9310975031519,652.9422693483896,sell,0.6090402714806011,1.0589051007650818,0.4498720825253934
HAL,19-09-2020,842.1159800899239,880.2603850132923,928.3800808411281,sell,5.321090259373753,9.744624984462313,4.429276399305735
HATHWAY,19-09-2020,33.188691800661026,33.83875960379989,34.93402053371053,sell,3.1851582202164135,5.124072936153167,1.93970616372146
HATSUN,19-09-2020,836.298582189763,813.7466921300845,786.6595266356999,sell,3.385036271012988,6.117108665236836,2.7334874273646146
HAVELLS,19-09-2020,672.6388997808335,659.1084983310583,644.418515568474,sell,2.253882367752211,4.2853688659996525,2.031977155571425
HCLTECH,19-09-2020,792.0400828410521,759.7943330297633,733.6623877971354,sell,3.499524943469289,7.652566102157247,4.155823518476885
HDFC,19-09-2020,1746.3961360946064,1768.2725619172718,1786.2312739055074,sell,1.0104764444052747,2.2552697008541687,1.2448641793771402
HDFCAMC,19-09-2020,2277.9401673087955,2339.055761128268,2375.993008241044,sell,1.5667811265382532,4.21376230528554,2.6474181379735886
HDFCBANK,19-09-2020,1074.8735206535184,1086.0368947191641,1087.2016238673089,sell,0.10718834018295272,1.1403954432418824,1.033210260474441
HDFCLIFE,19-09-2020,591.7353078030973,592.120376252021,592.8268121726186,buy,0.11923500515442079,0.18428824476401348,0.06505327534597492
HEG,19-09-2020,765.3332524007235,781.0565509359221,793.8985111968254,sell,1.63077164163823,3.664017045188271,2.03354917385933
HEIDELBERG,19-09-2020,187.8686043730873,187.24197657181577,187.02555493329783,buy,0.11565076866144665,0.4497533070929916,0.3341029728849824
HERITGFOOD,19-09-2020,349.1632890108776,347.25334240691086,340.7350260258294,sell,1.8948914487988708,2.4433348513395665,0.5485068902155259
HEROMOTOCO,19-09-2020,3057.562343444398,3008.57360473605,2957.76206120533,sell,1.703274719214204,3.318201165075121,1.615154659467926
HEXAWARE,19-09-2020,450.0842422765769,434.26516884339736,419.80332118837305,sell,3.38657796741485,6.962031039411211,3.5775618175955253
HFCL,19-09-2020,15.364403873684218,15.79319871247572,15.74994992475836,sell,0.2742198517639951,2.478252022019756,2.752425111051199
HIMATSEIDE,19-09-2020,86.22886931110017,82.67061572018028,80.41156726411488,sell,2.77044176712173,6.981861265539332,4.213457004041066
HINDALCO,19-09-2020,179.0396403132936,181.63564897049284,182.08799374875494,sell,0.2487299285140281,1.6882415788416638,1.4395267623430912
HINDCOPPER,19-09-2020,36.67807021421133,36.69768481106022,36.86210215935774,buy,0.4470305178116937,0.5004936464156313,0.053463427646185585
