symbol,NiftyMidcap150,NiftyMidcap400,Nifty500,NiftySmallcap50,NiftySmallcap250,NiftyMidcap50,Nifty200,NiftyNext50,Nifty100,Nifty50
M&MFIN,True,True,True,False,False,True,True,False,False,False
MAHABANK,False,True,True,True,True,False,False,False,False,False
MAHINDCIE,False,True,True,False,True,False,False,False,False,False
MAHLOG,False,True,True,False,True,False,False,False,False,False
MANAPPURAM,True,True,True,False,False,True,True,False,False,False
MARICO,False,False,True,False,False,False,True,True,True,False
MARUTI,False,False,True,False,False,False,True,False,True,True
MASTEK,False,True,True,False,True,False,False,False,False,False
MAXHEALTH,True,True,True,False,False,False,False,False,False,False
MAZDOCK,False,True,True,False,True,False,False,False,False,False
MCDOWELL,False,False,False,False,False,False,False,True,False,False
MCDOWELL-N,False,False,True,False,False,False,True,False,True,False
MCX,False,True,True,True,True,False,False,False,False,False
METROPOLIS,True,True,True,False,False,False,False,False,False,False
MFSL,True,True,True,False,False,True,True,False,False,False
MGL,True,True,True,False,False,False,True,False,False,False
MHRIL,False,True,True,False,True,False,False,False,False,False
MIDHANI,False,True,True,False,True,False,False,False,False,False
MINDACORP,False,True,True,False,True,False,False,False,False,False
MINDAIND,True,True,True,False,False,False,False,False,False,False
MINDTREE,True,True,True,False,False,True,True,False,False,False
MMTC,False,True,True,True,True,False,False,False,False,False
MOIL,False,True,True,False,True,False,False,False,False,False
MOTILALOFS,True,True,True,False,False,False,False,False,False,False
MPHASIS,True,True,True,False,False,True,True,False,False,False
MRF,True,True,True,False,False,True,True,False,False,False
MRPL,False,True,True,False,True,False,False,False,False,False
MUTHOOTFIN,False,False,True,False,False,False,True,True,True,False
NAM-INDIA,True,True,True,False,False,False,True,False,False,False
NATCOPHARM,True,True,True,False,False,False,True,False,False,False
NATIONALUM,True,True,True,False,False,False,True,False,False,False
NAUKRI,False,False,True,False,False,False,True,True,True,False
NAVINFLUOR,True,True,True,False,False,False,True,False,False,False
NAZARA,False,True,True,False,True,False,False,False,False,False
NBCC,False,True,True,True,True,False,False,False,False,False
NCC,False,True,True,False,True,False,False,False,False,False
NESCO,False,True,True,False,True,False,False,False,False,False
NESTLEIND,False,False,True,False,False,False,True,False,True,True
NETWORK18,False,True,True,False,True,False,False,False,False,False
NFL,False,True,True,False,True,False,False,False,False,False
NH,False,True,True,False,True,False,False,False,False,False
NHPC,True,True,True,False,False,False,False,False,False,False
NIACL,True,True,True,False,False,False,False,False,False,False
NILKAMAL,False,True,True,False,True,False,False,False,False,False
NLCINDIA,False,True,True,False,True,False,False,False,False,False
NMDC,False,False,True,False,False,False,True,True,True,False
NOCIL,False,True,True,False,True,False,False,False,False,False
NTPC,False,False,True,False,False,False,True,False,True,True
