company,ema50,ema200,ratio,outcome,action,longName,price,regularMarketVolume,marketCap,bookValue,priceToBook,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh
KSCL,576.8753174434157,516.7425091108086,10.99704245350021,far away,buy,Kaveri Seed Company Limited,581.9,103823,35153862656,251.898,2.3100622,376988,358047,308.15002,1.1256622,273.75 - 682.5,-100.599976,-0.14739923,273.75,682.5
KTKBANK,44.505397246754946,53.91922138815743,19.129003031896517,far away,sell,The Karnataka Bank Limited,42.75,1596354,13319916544,192.056,0.22259133,2921367,790052,8.549999,0.24999997,34.2 - 82.95,-40.199997,-0.48462927,34.2,82.95
L&TFH,64.94564957078265,76.97360245684175,16.950417528578676,far away,sell,L&T Finance Holdings Limited,63.6,10052430,127713886208,,,17081811,12587698,17.699997,0.38562083,45.9 - 134.0,-70.4,-0.52537316,45.9,134.0
LALPATHLAB,1836.0323924510608,1645.972601458979,10.91668687003567,far away,buy,Dr. Lal PathLabs Limited,1986.15,298567,165535465472,125.226,15.860524,158543,180197,806.6,0.68382007,1179.55 - 2029.0,-42.849976,-0.021118766,1179.55,2029.0
LAOPALA,202.86498414810583,185.8980926671881,8.728653770264762,far away,buy,La Opala RG Limited,223.75,162180,24814098432,49.108,4.556284,243807,317179,93.25,0.7145594,130.5 - 251.85,-28.100006,-0.111574374,130.5,251.85
LAURUSLABS,1050.280918086583,674.0722926151738,43.63475222321815,far away,buy,Laurus Labs Limited,1493.5,3316008,160536313856,165.532,9.022425,2059241,1234331,1198.5,4.0627117,295.0 - 1520.0,-26.5,-0.017434211,295.0,1520.0
LAXMIMACH,3310.9219933924046,3226.878211379667,2.571011024515323,far away,buy,Lakshmi Machine Works Limited,3687.3,4356,39331692544,1554.204,2.3724685,12339,9029,1687.3,0.84365004,2000.0 - 3980.0,-292.69995,-0.0735427,2000.0,3980.0
LEMONTREE,27.41872946913743,34.34331678220678,22.42343877302686,far away,sell,Lemon Tree Hotels Limited,28.3,584532,22420561920,10.413,2.7177565,2903650,903057,14.249999,1.0142348,14.05 - 69.95,-41.649998,-0.5954253,14.05,69.95
LICHSGFIN,285.9080731728563,315.52920035391884,9.85011354795717,far away,sell,LIC Housing Finance Limited,303.3,4018714,153064292352,362.068,0.8376879,5482063,3584097,118.04999,0.6372469,185.25 - 486.75,-183.45001,-0.37688753,185.25,486.75
LINDEINDIA,704.3578838180678,626.8224890751536,11.649119281167998,far away,buy,Linde India Limited,818.7,443098,69582626816,261.11,3.1354604,124193,278390,417.7,1.0416459,401.0 - 860.0,-41.299988,-0.048023243,401.0,860.0
LT,937.8878786718489,1030.8514680604935,9.443971294924642,far away,sell,Larsen & Toubro Limited,900.7,7491115,1264609787904,475.273,1.8951213,4985227,4120168,239.70001,0.3626324,661.0 - 1551.0,-650.3,-0.41927788,661.0,1551.0
LTI,2403.138623558696,2016.9176465910612,17.475839824751787,far away,buy,Larsen & Toubro Infotech Limited,2706.9,405202,471590699008,342.126,7.911997,199557,310959,1496.8999,1.2371074,1210.0 - 2794.35,-87.450195,-0.031295363,1210.0,2794.35
LTTS,1519.0209704631409,1448.364638386322,4.762194159471866,far away,buy,L&T Technology Services Limited,1673.05,58636,174902329344,282.769,5.916667,142307,112992,678.05005,0.68145734,995.0 - 1780.0,-106.94995,-0.060084242,995.0,1780.0
LUPIN,948.0758684712148,854.2611300452422,10.410343737402442,far away,buy,Lupin Limited,1085.9,15273624,492482789376,276.749,3.9237723,3816821,3692081,581.15,1.1513621,504.75 - 1122.3,-36.400024,-0.032433417,504.75,1122.3
LUXIND,1299.086959584863,1217.2781032808032,6.502145297701359,far away,buy,Lux Industries Limited,1408.8,68904,35576426496,196.206,7.180209,78502,138511,594.60004,0.73028743,814.2 - 1648.9,-240.09998,-0.14561221,814.2,1648.9
M&M,599.3415394059565,540.448706625617,10.333977323527318,far away,buy,Mahindra & Mahindra Limited,654.15,13516445,813232750592,,,6558339,6886860,408.75003,1.6656481,245.4 - 659.4,-5.25,-0.007961784,245.4,659.4
M&MFIN,139.6932736137921,205.10035319312325,37.93984255744912,far away,sell,Mahindra & Mahindra Financial Services Limited,133.25,5669578,164634378240,,,18985618,7447152,19.144997,0.16778402,114.105 - 403.3,-270.05,-0.6696008,114.105,403.3
MAHABANK,12.354884967962521,11.633885981290055,6.011137362541123,far away,buy,Bank of Maharashtra,12.25,1230120,80490586112,18.869,0.649213,4826111,1671491,4.25,0.53125,8.0 - 15.35,-3.1000004,-0.20195442,8.0,15.35
MAHINDCIE,123.40870838594567,127.84083576158372,3.528067993656202,far away,sell,Mahindra CIE Automotive Limited,122.3,284711,46353047552,122.467,0.99863636,258473,131593,63.700005,1.0870308,58.6 - 182.7,-60.399994,-0.33059657,58.6,182.7
MAHLOG,325.636181495868,330.69110408514206,1.540366430080444,far away,sell,Mahindra Logistics Limited,343.55,27309,24597870592,76.135,4.512379,118454,44264,148.54999,0.7617948,195.0 - 458.0,-114.45001,-0.24989085,195.0,458.0
MAHSCOOTER,2967.929885846429,3125.5113533512103,5.172166640127675,far away,sell,Maharashtra Scooters Ltd.,3056.95,6638,34929627136,7184.43,0.42549652,18009,5884,1243.95,0.68612796,1813.0 - 4950.0,-1893.05,-0.38243437,1813.0,4950.0
MAHSEAMLES,226.3545987948632,264.71848041117386,15.624510176097242,far away,sell,Maharashtra Seamless Limited,235.6,73086,15788498944,478.271,0.49260777,147410,75394,50.950012,0.2759275,184.65 - 447.65,-212.04999,-0.47369593,184.65,447.65
MANAPPURAM,155.23580806265028,146.95610423509257,5.479765334950398,far away,buy,Manappuram Finance Limited,161.2,13029839,136441618432,68.668,2.3475273,10140408,8984869,86.95,1.1710438,74.25 - 194.8,-33.600006,-0.17248462,74.25,194.8
MARICO,362.2102524902273,342.67903280819013,5.541641812236806,far away,buy,Marico Limited,362.5,2445823,467632226304,23.53,15.405865,2639250,1589109,128.5,0.5491453,234.0 - 404.0,-41.5,-0.10272277,234.0,404.0
MARUTI,6704.812094232634,6314.738968955716,5.992113297666863,far away,buy,Maruti Suzuki India Limited,6964.75,1143176,2103911645184,1635.764,4.2577963,1273405,1083844,2963.65,0.74070877,4001.1 - 7758.7,-793.9502,-0.10233031,4001.1,7758.7
MASFIN,757.7716339957428,717.0496548262822,5.5222933758959,far away,buy,MAS Financial Services Limited,860.6,26101,46943490048,191.457,4.495004,37291,40498,416.64996,0.9385065,443.95 - 1270.0,-409.40002,-0.3223622,443.95,1270.0
MCDOWELL-N,571.5492248300853,581.6471511641254,1.751293456040263,far away,sell,United Spirits Limited,543.7,2311522,385390346240,52.345,10.386856,2682414,2374002,101.05002,0.22828424,442.65 - 742.7,-199.0,-0.2679413,442.65,742.7
MCX,1579.166734094445,1323.4308672879865,17.621172613431373,far away,buy,Multi Commodity Exchange of India Limited,1743.55,261417,88918261760,347.618,5.015707,431189,592490,928.55005,1.1393253,815.0 - 1859.0,-115.44995,-0.062103257,815.0,1859.0
METROPOLIS,1714.5053837747455,1518.5642161246762,12.12106090485431,far away,buy,Metropolis Healthcare Limited,1868.0,376545,95071109120,104.409,17.891178,141550,142092,869.95,0.87164974,998.05 - 2109.0,-241.0,-0.11427217,998.05,2109.0
MFSL,570.7464371089055,510.74055379807464,11.096921889094096,far away,buy,Max Financial Services Limited,610.5,858384,164747083776,79.699,7.6600714,1483590,1148207,334.15,1.209155,276.35 - 641.75,-31.25,-0.048694976,276.35,641.75
MGL,959.5918280601662,972.2182220689572,1.307208646931617,far away,sell,Mahanagar Gas Limited,919.15,1072152,90791616512,299.007,3.0740085,962638,833879,255.25,0.38447055,663.9 - 1246.2,-327.04993,-0.26243776,663.9,1246.2
MHRIL,175.800777636553,181.99928869982244,3.464790337653039,far away,sell,Mahindra Holidays & Resorts India Limited,179.85,171306,23893254144,3.484,51.6217,86406,144598,58.050003,0.476601,121.8 - 253.0,-73.149994,-0.28913042,121.8,253.0
MIDHANI,209.09419459416964,193.38581407410527,7.805794167039615,far away,buy,Mishra Dhatu Nigam Limited,205.4,370737,38470393856,51.071,4.021852,1235396,627925,86.299995,0.72460115,119.1 - 278.8,-73.399994,-0.26327115,119.1,278.8
MINDACORP,73.01145598084727,78.92200597570755,7.780445359101195,far away,sell,Minda Corporation Limited,72.45,272977,16462233600,43.817,1.6534677,1265188,519083,19.699997,0.37345967,52.75 - 122.0,-49.550003,-0.40614757,52.75,122.0
MINDAIND,322.1356208073675,313.3776099157491,2.7562009626937756,far away,buy,Minda Industries Limited,352.15,182642,95881281536,69.245,5.0855656,448743,248079,145.9,0.7073939,206.25 - 425.9,-73.75,-0.17316271,206.25,425.9
MINDTREE,1134.0299262273843,971.8326144419224,15.404358893616171,far away,buy,Mindtree Limited,1272.5,1148126,209509482496,210.355,6.049298,1165092,1499931,597.5,0.8851852,675.0 - 1292.45,-19.949951,-0.015435763,675.0,1292.45
MMTC,18.44512103688086,18.168129678277502,1.513066188841186,far away,buy,MMTC Limited,18.1,460961,27150000128,6.28,2.8821657,2081759,777667,8.200001,0.82828295,9.9 - 24.35,-6.25,-0.2566735,9.9,24.35
MOIL,147.00405517020022,141.5662939459885,3.7687595006667096,far away,buy,MOIL Limited,148.35,398235,35195744256,114.854,1.2916399,524403,255135,62.800003,0.73407364,85.55 - 170.0,-21.649994,-0.12735291,85.55,170.0
MOTHERSUMI,110.12875587989038,106.42675221055542,3.4189882326048164,far away,buy,Motherson Sumi Systems Limited,122.65,15749687,387320119296,35.659,3.4395244,16882535,13472225,74.0,1.5210688,48.65 - 151.0,-28.349998,-0.18774833,48.65,151.0
MOTILALOFS,659.3669346798183,646.8441540104938,1.9174206646615863,far away,buy,Motilal Oswal Financial Services Limited,649.3,71921,95909396480,208.44,3.115045,137162,195928,223.29999,0.5241784,426.0 - 905.4,-256.10004,-0.28285843,426.0,905.4
MPHASIS,1140.7496658532366,974.3317122948824,15.736316841299322,far away,buy,Mphasis Limited,1397.45,521271,260780933120,329.549,4.240492,480206,761464,767.44995,1.2181746,630.0 - 1414.0,-16.550049,-0.011704419,630.0,1414.0
MRF,60378.591306506285,61734.05686627231,2.220024837800848,far away,sell,MRF Limited,58950.6,17207,249962938368,28800.508,2.0468597,15535,18656,9035.5,0.18101737,49915.1 - 73565.7,-14615.102,-0.19866733,49915.1,73565.7
MRPL,32.48024785601703,37.36518386508337,13.987846846082535,far away,sell,Mangalore Refinery and Petrochemicals Limited,28.85,947339,50649636864,38.998,0.7397815,2126254,840761,8.1,0.39036146,20.75 - 56.6,-27.749998,-0.49028265,20.75,56.6
MUTHOOTFIN,1143.6128976291188,955.0530155221826,17.96949966407942,far away,buy,Muthoot Finance Limited,1105.0,1554706,442817708032,313.877,3.520487,3390970,1765396,628.2,1.3175336,476.8 - 1405.75,-300.75,-0.21394274,476.8,1405.75
NAM-INDIA,278.5054965765049,283.694894511784,1.8461025703783749,far away,sell,Nippon Life India Asset Management Limited,279.65,726363,171368955904,42.362,6.601435,1152501,699508,71.95,0.34641308,207.7 - 452.9,-173.25,-0.38253477,207.7,452.9
NATCOPHARM,765.0754904102108,672.3135717987024,12.907002154163639,far away,buy,NATCO Pharma Limited,890.8,7393587,162962948096,207.322,4.2966976,488634,209444,488.25,1.2128929,402.55 - 927.9,-37.100037,-0.039982796,402.55,927.9
NATIONALUM,34.9823666040703,36.43310301727802,4.062807178611764,far away,sell,National Aluminium Company Limited,34.9,19132268,65015558144,53.653,0.6504762,16296965,12428083,10.500002,0.43032795,24.4 - 49.25,-14.349998,-0.29137054,24.4,49.25
NAUKRI,3243.532614951394,2794.321032958543,14.879843341295624,far away,buy,Info Edge (India) Limited,3487.3,643107,448410976256,179.571,19.420174,448414,592194,1906.2001,1.2056164,1581.1 - 3618.05,-130.75,-0.03613825,1581.1,3618.05
NAVINFLUOR,1935.5793036959108,1531.7539823974475,23.293135558563677,far away,buy,Navin Fluorine International Limited,2048.0,656359,101413273600,285.295,7.178534,143023,124746,1361.9,1.9849877,686.1 - 2250.0,-202.0,-0.089777775,686.1,2250.0
NBCC,25.833217197628656,27.987930519237462,8.006939327804696,far away,sell,NBCC (India) Limited,25.75,4263347,46350000128,8.079,3.1872754,12196851,5524540,11.7,0.8327402,14.05 - 45.8,-20.05,-0.43777293,14.05,45.8
NBVENTURES,56.23420214045392,57.855451015121986,2.842061185789193,far away,sell,Nava Bharat Ventures Limited,60.0,211880,10581659648,256.019,0.2343576,888561,441589,28.0,0.875,32.0 - 95.4,-35.4,-0.3710692,32.0,95.4
NCC,32.58152072073225,38.35464149537763,16.27694703036607,far away,sell,NCC Limited,32.75,5641165,19972489216,80.89,0.4048708,18167099,8896457,16.9,1.066246,15.85 - 71.85,-39.1,-0.5441893,15.85,71.85
NESCO,518.8241612131546,517.2146049626515,0.3107135182681031,far away,buy,Nesco Limited,592.35,138046,41719152640,192.659,3.0746033,176083,142881,212.34998,0.5588157,380.0 - 816.8,-224.45001,-0.2747919,380.0,816.8
NESTLEIND,16415.528784215436,15833.764338471661,3.607920604836503,far away,buy,Nestlé India Limited,16087.05,197335,1551044050944,236.355,68.06308,135988,102441,3887.0498,0.31861064,12200.0 - 18369.9,-2282.8506,-0.12427126,12200.0,18369.9
NFL,35.498531853345405,31.05779992155174,13.344280892200738,far away,buy,National Fertilizers Limited,35.35,839009,17365616640,38.787,0.9113878,2874162,1444979,20.649998,1.4047618,14.7 - 44.95,-9.600002,-0.21357068,14.7,44.95
NH,316.9754452408441,294.5361934620959,7.338945118475084,far away,buy,Narayana Hrudayalaya Limited,336.35,290047,68736819200,56.043,6.0016418,240498,200088,132.35,0.64877456,204.0 - 389.0,-52.649994,-0.13534702,204.0,389.0
NHPC,20.975518112602337,21.450178713001975,2.2376089771761887,far away,sell,NHPC Limited,21.2,6379947,212438843392,31.965,0.6632254,6004773,3140406,6.1000004,0.40397352,15.1 - 29.1,-7.8999996,-0.27147764,15.1,29.1
NIACL,114.39667861212001,123.39919016970796,7.571629905688177,far away,sell,The New India Assurance Company Limited,113.4,608785,186797015040,178.553,0.63510555,726054,244427,39.300003,0.53036445,74.1 - 179.15,-65.74999,-0.36701086,74.1,179.15
NIITTECH,1891.1420932516003,1621.7589706646736,15.336789604123455,far away,buy,COFORGE Limited,2013.8,403780,122020577280,324.672,6.2025676,680487,620685,1278.4501,1.7385601,735.35 - 2272.0,-258.19995,-0.11364435,735.35,2272.0
NILKAMAL,1249.670196995377,1210.7604945764929,3.162836697832463,far away,buy,Nilkamal Limited,1309.8,22687,19562387456,691.633,1.893779,26937,18352,397.80005,0.43618426,912.0 - 1543.7,-233.8999,-0.15151902,912.0,1543.7
NLCINDIA,50.96022799568274,50.75186018453365,0.40972084022088573,far away,buy,NLC India Limited,51.55,354908,71616356352,95.134,0.54186726,1016415,326894,16.599998,0.47496417,34.95 - 62.8,-11.25,-0.17914014,34.95,62.8
NMDC,90.52850496712925,91.46369196914678,1.0277220867276866,far away,sell,NMDC Limited,86.9,7542503,265923575808,90.375,0.9615491,9173831,11177796,25.350002,0.41186032,61.55 - 139.7,-52.799995,-0.37795272,61.55,139.7
NTPC,93.1000457653332,99.41449951092645,6.559975753034097,far away,sell,NTPC Limited,90.55,44753087,895447138304,120.275,0.75285804,25189534,23677774,17.350006,0.23702195,73.2 - 125.0,-34.449997,-0.2756,73.2,125.0
OBEROIRLTY,380.74790454103874,408.96862507370355,7.147050738935931,far away,sell,Oberoi Realty Limited,429.35,910140,155978563584,237.263,1.8095952,444540,643915,139.35,0.48051727,290.0 - 584.0,-154.65,-0.26481164,290.0,584.0
OFSS,2946.4908598341267,2826.4304331736053,4.15943403925984,far away,buy,Oracle Financial Services Software Limited,2990.7,232598,257155334144,764.978,3.909524,60095,68473,1484.7,0.98585653,1506.0 - 3262.7,-272.0,-0.083366536,1506.0,3262.7
OIL,95.63541639334613,109.03464202486035,13.093488842549997,far away,sell,Oil India Limited,96.65,2416682,104752168960,266.021,0.3633172,1234723,445714,33.15,0.5220473,63.5 - 174.95,-78.299995,-0.44755644,63.5,174.95
OMAXE,83.06975924787568,130.93735793297273,44.734585761132564,far away,sell,Omaxe Limited,66.3,137449,12153121792,89.525,0.74057525,598631,36614,6.800003,0.11428577,59.5 - 222.1,-155.8,-0.7014858,59.5,222.1
ONGC,77.9760815118184,91.49995900254096,15.959633526577113,far away,sell,Oil and Natural Gas Corporation Limited,74.3,25688023,934077333504,164.519,0.4516196,20022501,15078726,24.300003,0.48600006,50.0 - 149.65,-75.34999,-0.50350815,50.0,149.65
ORIENTCEM,65.17779393851403,67.13168287656565,2.953513210217652,far away,sell,Orient Cement Limited,62.45,172347,12824981504,54.59,1.1439824,406543,295978,27.350002,0.7792024,35.1 - 100.1,-37.649998,-0.37612385,35.1,100.1
ORIENTELEC,193.52493665838543,188.15644593419623,2.8130744484960597,far away,buy,Orient Electric Limited,204.75,1544254,43324076032,16.938,12.088204,441731,556193,59.699997,0.41158217,145.05 - 286.9,-82.149994,-0.2863367,145.05,286.9
ORIENTREF,187.7990573120359,184.57429918284308,1.7320026113292395,far away,buy,Orient Refractories Limited,194.35,49400,23384776704,35.484,5.4771166,80700,95307,86.350006,0.7995371,108.0 - 268.55,-74.19998,-0.27629858,108.0,268.55
PAGEIND,19166.862391410355,19922.77038944112,3.867562544107888,far away,sell,Page Industries Limited,18664.25,29990,208220241920,735.062,25.391396,49645,63372,2410.25,0.14828658,16254.0 - 26882.6,-8218.35,-0.3057126,16254.0,26882.6
PEL,1361.77437540075,1372.9640431311586,0.8183355054788498,far away,sell,Piramal Enterprises Limited,1351.9,2373930,304716939264,1355.494,0.99734855,2027878,1706674,745.05005,1.2277335,606.85 - 1857.99,-506.08997,-0.27238575,606.85,1857.99
PERSISTENT,955.878227307387,748.9776926560866,24.27190852066059,far away,buy,Persistent Systems Limited,1191.15,188600,91033640960,327.784,3.633948,209414,252715,771.10004,1.835734,420.05 - 1240.0,-48.849976,-0.039395142,420.05,1240.0
PETRONET,244.61058399105292,246.717144979605,0.8574972932894979,far away,sell,Petronet LNG Limited,228.2,3655452,342226960384,74.139,3.078002,4174022,3145176,57.800003,0.3392019,170.4 - 299.0,-70.8,-0.2367893,170.4,299.0
